 1)       2     2.00    1     1.00
 2)       4     6.00    3     4.00
 3)       6    12.00    5     9.00
 4)       8    20.00    7    16.00
 5)      10    30.00    9    25.00
 6)      12    42.00   11    36.00
 7)      14    56.00   13    49.00
 8)      16    72.00   15    64.00
 9)      18    90.00   17    81.00
10)      20   110.00   19   100.00
11)      22   132.00   21   121.00
12)      24   156.00   23   144.00
13)      26   182.00   25   169.00
14)      28   210.00   27   196.00
15)      30   240.00   29   225.00
16)      32   272.00   31   256.00
17)      34   306.00   33   289.00
18)      36   342.00   35   324.00
19)      38   380.00   37   361.00
20)      40   420.00   39   400.00
21)      42   462.00   41   441.00
22)      44   506.00   43   484.00
23)      46   552.00   45   529.00
24)      48   600.00   47   576.00
25)      50   650.00   49   625.00
26)      52   702.00   51   676.00
27)      54   756.00   53   729.00
28)      56   812.00   55   784.00
29)      58   870.00   57   841.00
30)      60   930.00   59   900.00
31)      62   992.00   61   961.00
32)      64  1056.00   63  1024.00
33)      66  1122.00   65  1089.00
34)      68  1190.00   67  1156.00
35)      70  1260.00   69  1225.00
36)      72  1332.00   71  1296.00
37)      74  1406.00   73  1369.00
38)      76  1482.00   75  1444.00
39)      78  1560.00   77  1521.00
40)      80  1640.00   79  1600.00
41)      82  1722.00   81  1681.00
42)      84  1806.00   83  1764.00
43)      86  1892.00   85  1849.00
44)      88  1980.00   87  1936.00
45)      90  2070.00   89  2025.00
46)      92  2162.00   91  2116.00
47)      94  2256.00   93  2209.00
48)      96  2352.00   95  2304.00
49)      98  2450.00   97  2401.00
50)     100  2550.00   99  2500.00
